CO_ANO;CO_MES;CO_NCM;CO_UNID;CO_PAIS;SG_UF_NCM;CO_VIA;CO_URF;QT_ESTAT;KG_LIQUIDO;VL_FOB
1997;3;9011110;21;355;ES;1;727600;789;787200;2174739
1997;6;9011110;21;53;MG;1;717600;72;72000;213120
1997;6;9011110;21;764;BA;1;817800;3;3000;14170
1997;7;9011110;21;63;ES;1;727600;932;931200;1754748
1997;7;9011110;21;245;PR;1;817800;26;25560;121621
1997;11;9011110;21;301;MG;1;817800;115;115200;341779
1997;11;9011110;21;69;MG;1;817800;93;93600;310084
1997;7;9011110;21;249;SP;1;817800;3007;3007080;12006541
1997;12;9011110;21;628;MG;1;727600;58;57600;164736
1997;6;9011110;21;63;PR;1;727600;76;76800;126592
1997;11;9011110;21;151;MG;1;727600;38;38400;100608
1997;12;9011110;21;538;MG;1;817800;542;541200;1697806
1997;12;9011110;21;386;MG;1;817800;5096;5105070;17676797
1997;12;9011110;21;764;MG;1;817800;1578;1578660;5082954
1997;7;9011110;21;163;ES;1;727600;38;38400;105216
1997;1;9011110;21;249;SP;1;817800;3505;3505800;7197713
1997;7;9011110;21;246;ES;1;727600;231;230400;658944
1997;6;9011110;21;403;ES;1;727600;38;38400;104448
1997;7;9011110;21;232;MG;1;727600;6;6000;13021
1997;7;9011110;21;149;MG;1;717600;474;474000;1747540
1997;12;9011110;21;351;SP;1;817800;19;19200;71040
1997;12;9011110;21;764;ES;1;717600;38;38400;120000
1997;1;9011110;21;538;MG;1;817800;738;736800;1666807
1997;11;9011110;21;767;MG;1;727600;114;115200;316800
1997;12;9011110;21;386;MG;1;717600;168;168000;598531
1997;3;9011110;21;355;MG;1;727600;269;268800;739584
1997;8;9011110;21;607;MG;1;817800;242;242400;915380
1997;12;9011110;21;538;SP;1;817800;253;253200;784716
1997;4;9011110;21;756;MG;1;817800;22;21600;72381
1997;4;9011110;21;87;MG;1;817800;1975;1978680;6993456
1997;9;9011110;21;431;ES;1;727600;446;446100;1179111
1997;8;9011110;21;245;MG;1;817800;1066;1070520;3901788
1997;1;9011110;21;275;MG;1;817800;1718;1718400;3826355
1997;11;9011110;21;744;ES;1;727600;649;652800;1769103
1997;1;9011110;21;69;MG;1;817800;148;148800;344544
1997;7;9011110;21;72;ES;1;727600;424;422400;1173792
1997;1;9011110;21;17;ES;1;727600;115;115200;238231
1997;8;9011110;21;573;MG;1;817800;1299;1299600;4598238
1997;12;9011110;21;351;MG;1;717600;19;19200;66458
1997;7;9011110;21;23;SP;1;817800;1086;1086600;4558884
1997;9;9011110;21;249;MG;1;817800;7389;7397640;25373840
1997;4;9011110;21;63;MG;1;717600;110;110400;425760
1997;3;9011110;21;301;MG;1;817800;96;96000;265829
1997;3;9011110;21;275;SP;1;817800;1058;1059300;3360444
1997;11;9011110;21;63;ES;1;727600;288;288000;567080
1997;12;9011110;21;573;SP;1;817800;494;494400;1434148
1997;6;9011110;21;827;MG;1;727600;116;116100;339918
1997;6;9011110;21;845;ES;7;1015300;171;170700;378347
1997;6;9011110;21;23;ES;1;727600;134;134400;380544
1997;11;9011110;21;63;MG;7;1010900;921;917400;2605602
1997;4;9011110;21;386;ES;1;717600;38;38400;142080
1997;6;9011110;21;271;MG;1;817800;788;789000;3146406
1997;7;9011110;21;249;ND;1;817800;18;18000;79269
1997;7;9011110;21;431;ES;1;727600;268;269400;722623
1997;12;9011110;21;767;SP;1;817800;96;96000;324995
1997;7;9011110;21;249;PR;1;817800;544;544800;1194175
1997;1;9011110;21;149;MG;1;717600;167;166800;370012
1997;12;9011110;21;791;MG;1;817800;77;76800;228580
1997;1;9011110;21;756;MG;1;817800;56;56400;116726
1997;7;9011110;21;249;MG;1;717600;768;768000;2997416
1997;7;9011110;21;845;ES;7;1015300;64;64200;155380
1997;1;9011110;21;53;ES;1;727600;54;54000;122040
1997;1;9011110;21;23;MG;1;727600;134;134400;253152
1997;1;9011110;21;245;SP;1;817800;568;568800;1294659
1997;11;9011110;21;249;PR;1;817800;199;199200;545052
1997;8;9011110;21;23;MG;1;727600;111;111000;318039
1997;8;9011110;21;399;ES;1;817800;34;33600;120001
1997;8;9011110;21;69;SP;1;817800;38;38400;132149
1997;4;9011110;21;249;PR;1;817800;180;180000;625140
1997;1;9011110;21;72;MG;1;817800;36;36000;80400
1997;11;9011110;21;438;MG;1;727600;300;300000;822000
1997;4;9011110;21;240;ES;1;727600;76;76800;219486
1997;8;9011110;21;63;ND;7;1010900;175;174300;464800
1997;3;9011110;21;63;PR;7;1010900;450;448200;1048998
1997;4;9011110;21;72;ES;1;727600;747;746400;2156010
1997;3;9011110;21;538;PR;1;817800;38;38400;142810
1997;3;9011110;21;628;BA;1;517600;16;16200;63200
1997;3;9011110;21;275;ND;1;817800;115;115200;390384
1997;9;9011110;21;232;SP;1;817800;368;367980;1119253
1997;4;9011110;21;246;ND;1;727600;96;96000;294191
1997;6;9011110;21;190;SP;1;817800;336;336000;1402544
1997;6;9011110;21;72;ES;1;727600;345;345600;1005888
1997;4;9011110;21;538;PR;1;817800;38;38400;136013
1997;9;9011110;21;756;MG;1;817800;98;98400;343891
1997;6;9011110;21;573;SP;1;817800;42;42000;151394
1997;9;9011110;21;249;ES;1;717600;130;129600;400003
1997;6;9011110;21;573;MG;1;817800;1178;1178400;4812868
1997;3;9011110;21;399;ND;1;817800;275;274920;809479
1997;3;9011110;21;245;PR;1;817800;47;47280;128917
1997;9;9011110;21;246;MG;1;727600;1429;1428780;3883740
1997;9;9011110;21;23;BA;1;817800;293;293040;1038556
1997;9;9011110;21;538;MG;1;817800;494;493500;1539854
1997;9;9011110;21;573;MG;1;727600;105;105600;346560
1997;11;9011110;21;791;SP;1;817800;76;76800;233518
1997;8;9011110;21;249;RO;1;727600;115;115200;167625
1997;8;9011110;21;69;MG;1;727600;19;19200;63360
1997;8;9011110;21;744;ES;1;727600;382;384000;1006248
1997;9;9011110;21;275;SP;1;817800;275;275700;938973
1997;8;9011110;21;249;ND;1;817800;134;134400;402976
1997;8;9011110;21;195;MG;1;817800;73;72600;251285
1997;8;9011110;21;245;BA;1;817800;125;125400;484820
1997;8;9011110;21;87;MG;1;727600;18;18000;46800
1997;12;9011110;21;63;ES;1;727600;57;57600;173912
1997;8;9011110;21;195;SP;1;817800;27;27420;94907
1997;12;9011110;21;403;ES;1;717600;19;19200;57984
1997;8;9011110;21;399;MG;4;817600;4;4200;20300
1997;12;9011110;21;87;MG;1;717600;252;252000;821098
1997;8;9011110;21;386;RO;1;817800;14;13800;55338
1997;11;9011110;21;158;SP;7;1010900;103;102840;291238
1997;12;9011110;21;607;SP;1;817800;72;72660;202795
1997;9;9011110;21;379;MG;1;817800;19;19200;57984
1997;12;9011110;21;827;MG;1;727600;306;308400;862628
1997;7;9011110;21;403;ES;1;727600;19;19200;60742
1997;7;9011110;21;23;ND;1;817800;216;216000;889320
1997;4;9011110;21;87;ND;1;717600;38;38400;92490
1997;1;9011110;21;573;MG;1;717600;211;211200;477888
1997;1;9011110;21;386;PR;1;817800;594;594000;1233648
1997;1;9011110;21;556;MG;1;817800;72;72000;157491
1997;4;9011110;21;158;ES;7;1010900;48;48000;96800
1997;3;9011110;21;190;MG;1;817800;247;247800;976798
1997;12;9011110;21;246;MG;1;817800;211;211200;730402
1997;11;9011110;21;23;BA;1;817800;175;175080;565241
1997;11;9011110;21;63;SP;1;817800;17;16500;77550
1997;3;9011110;21;69;PR;1;817800;36;36000;144249
1997;3;9011110;21;820;ES;1;727600;492;492960;1675511
1997;12;9011110;21;72;BA;1;517600;58;57600;164736
1997;9;9011110;21;149;PR;1;817800;115;115200;180615
1997;9;9011110;21;63;SP;1;817800;31;31200;113962
1997;6;9011110;21;301;MG;1;817800;38;38400;153868
1997;6;9011110;21;607;SP;1;817800;250;249600;1032069
1997;1;9011110;21;63;MG;1;817800;38;38400;100842
1997;4;9011110;21;791;MG;1;817800;151;151200;541413
1997;6;9011110;21;63;ND;7;1010900;125;124500;323700
1997;8;9011110;21;275;PR;1;817800;254;254400;1028950
1997;6;9011110;21;149;ES;1;727600;79;77700;134294
1997;6;9011110;21;149;MG;1;717600;384;382800;1385455
1997;3;9011110;21;232;PR;1;817800;137;136980;370243
1997;4;9011110;21;245;PR;1;817800;48;47820;140573
1997;1;9011110;21;275;PR;1;915100;154;153600;367164
1997;9;9011110;21;190;BA;1;817800;45;45000;163474
1997;6;9011110;21;573;MG;1;727600;43;43200;172800
1997;1;9011110;21;23;BA;1;517600;38;38400;76416
1997;9;9011110;21;386;BA;1;517600;38;38400;145920
1997;7;9011110;21;23;MG;1;717600;364;364700;1412910
1997;7;9011110;21;764;MG;1;717600;108;108000;448200
1997;4;9011110;21;399;PR;1;817800;34;33600;121486
1997;11;9011110;21;249;ND;1;817800;72;72000;243306
1997;7;9011110;21;160;SP;1;817800;19;19200;70656
1997;6;9011110;21;399;ES;1;727600;594;594000;975336
1997;8;9011110;21;670;ES;1;727600;19;19200;54336
1997;6;9011110;21;161;SP;1;817800;34;34200;139080
1997;8;9011110;21;271;ES;1;817800;38;38400;135451
1997;7;9011110;21;249;ES;1;717600;211;211200;755559
1997;6;9011110;21;63;PR;7;1010900;900;896400;2169040
1997;4;9011110;21;767;PR;1;817800;19;19200;69120
1997;1;9011110;21;240;ES;1;727600;19;19200;38095
1997;1;9011110;21;756;SP;1;817800;22;21600;47976
1997;8;9011110;21;23;BA;1;517600;57;57600;189696
1997;2;9011110;21;72;ES;1;727600;134;134400;319411
1997;2;9011110;21;399;SP;1;817800;2854;2851560;7913431
1997;9;9011110;21;244;ES;1;727600;114;115200;340654
1997;4;9011110;21;69;PR;1;817800;18;18000;62303
1997;8;9011110;21;399;PR;1;817800;6;6000;20636
1997;2;9011110;21;351;MG;1;817800;19;19200;39533
1997;8;9011110;21;355;MG;1;817800;80;79920;231768
1997;4;9011110;21;403;ES;1;727600;19;19200;56064
1997;9;9011110;21;195;MG;1;727600;38;38400;105216
1997;9;9011110;21;249;ES;1;817800;27;27000;104625
1997;7;9011110;21;63;MG;1;727600;77;76800;148800
1997;9;9011110;21;538;PR;1;817800;14;14400;46889
1997;4;9011110;21;63;PR;7;910600;25;24900;65570
1997;6;9011110;21;63;SP;1;817800;76;76800;313039
1997;8;9011110;21;245;ND;1;817800;76;76800;292498
1997;12;9011110;21;249;ND;1;817800;19;19200;72963
